,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
83,TCS,EQ,12-Sep-17,2454.45,2473.9,2497.0,2457.0,2497.0,2488.45,2469.62,698230,1724359523.0,25758,552659,79.15,9,2017,2484.0401665955633,0.013852390555929128,Slight positive
84,TCS,EQ,13-Sep-17,2488.45,2500.0,2531.65,2475.2,2492.7,2489.2,2504.48,639490,1601590314.0,32185,345028,53.95,9,2017,2484.078336311088,0.0003013924330406148,Slight positive
85,TCS,EQ,14-Sep-17,2489.2,2482.0,2497.6,2471.9,2485.0,2486.95,2484.2,540755,1343342208.0,38222,389170,71.97,9,2017,2484.0961878398402,-0.0009039048690342444,Slight positive
86,TCS,EQ,15-Sep-17,2486.95,2499.0,2517.0,2485.0,2504.0,2506.05,2503.39,1472036,3685085664.0,57885,1204007,81.79,9,2017,2484.461514941887,0.0076800900701663455,Slight positive
87,TCS,EQ,18-Sep-17,2506.05,2504.95,2518.95,2489.25,2505.0,2499.05,2502.71,363300,909233455.5,34868,240697,66.25,9,2017,2484.5211839939393,-0.002793240358332838,Slight positive
88,TCS,EQ,19-Sep-17,2499.05,2505.0,2505.0,2491.5,2498.0,2498.25,2496.55,391377,977092538.4,14036,296891,75.86,9,2017,2484.581411173408,-0.0003201216462256351,Slight positive
89,TCS,EQ,20-Sep-17,2498.25,2514.0,2514.0,2474.3,2496.0,2493.55,2485.89,667321,1658884674.0,21548,536043,80.33,9,2017,2484.647997741614,-0.001881316921845233,Slight positive
90,TCS,EQ,21-Sep-17,2493.55,2491.05,2541.0,2480.0,2525.0,2524.9,2509.94,1219370,3060544846.0,44213,843424,69.17,9,2017,2485.186761699144,0.012572436887168914,Slight positive
91,TCS,EQ,22-Sep-17,2524.9,2519.9,2526.9,2492.0,2509.0,2503.6,2508.22,1217698,3054249816.0,47174,887364,72.87,9,2017,2485.4296344530426,-0.00843597766248172,Slight positive
92,TCS,EQ,25-Sep-17,2503.6,2496.55,2534.0,2492.75,2510.0,2510.75,2515.11,799779,2011528454.0,50797,499966,62.51,9,2017,2485.647106186548,0.0028558875219684143,Slight positive
93,TCS,EQ,26-Sep-17,2510.75,2510.0,2526.4,2466.0,2475.0,2474.65,2485.79,724615,1801238878.0,30740,496026,68.45,9,2017,2485.562191628714,-0.01437817385243445,Slight positive
94,TCS,EQ,27-Sep-17,2474.65,2490.0,2512.2,2473.75,2495.1,2495.0,2495.71,1005178,2508634483.0,37197,646194,64.29,9,2017,2485.66221084612,0.00822338512516918,Slight positive
95,TCS,EQ,28-Sep-17,2495.0,2494.7,2514.0,2452.0,2472.75,2476.45,2480.49,2166433,5373819971.0,89294,1630581,75.27,9,2017,2485.4564937724713,-0.007434869739479044,Slight positive
96,TCS,EQ,29-Sep-17,2476.45,2479.0,2484.0,2421.5,2437.6,2435.95,2455.42,992507,2437024637.0,60239,705264,71.06,9,2017,2484.9551489913733,-0.016354055199983897,Slight positive
97,TCS,EQ,3-Oct-17,2435.95,2440.0,2454.3,2427.05,2452.0,2448.45,2440.87,961503,2346905981.0,57917,685041,71.25,10,2017,2484.60049436041,0.005131468215685775,Slight positive
98,TCS,EQ,4-Oct-17,2448.45,2449.6,2454.0,2425.0,2442.0,2442.3,2440.46,650389,1587250046.0,31490,469306,72.16,10,2017,2484.3243254384697,-0.0025117931752740574,Slight positive
99,TCS,EQ,5-Oct-17,2442.3,2441.0,2443.45,2424.4,2430.0,2429.6,2434.97,842343,2051077541.0,21566,693866,82.37,10,2017,2483.8654775110804,-0.005200016378004491,Slight positive
100,TCS,EQ,6-Oct-17,2429.6,2430.0,2455.0,2428.05,2451.0,2446.65,2443.5,694594,1697239803.0,31692,487487,70.18,10,2017,2483.609935903161,0.007017616068488719,Slight positive
101,TCS,EQ,9-Oct-17,2446.65,2441.05,2467.95,2441.05,2449.1,2454.1,2457.72,886808,2179528945.0,30973,714603,80.58,10,2017,2483.3534791575316,0.0030449798704350606,Slight positive
102,TCS,EQ,10-Oct-17,2454.1,2455.0,2469.95,2451.25,2453.4,2459.25,2459.75,611005,1502919509.0,32806,477108,78.09,10,2017,2483.2100134580064,0.002098528992298565,Slight positive
103,TCS,EQ,11-Oct-17,2459.25,2460.0,2514.45,2456.75,2500.0,2500.35,2494.35,763873,1905365312.0,39551,473024,61.92,10,2017,2483.336613980287,0.01671241232082954,Slight positive
104,TCS,EQ,12-Oct-17,2500.35,2513.0,2555.0,2507.0,2546.9,2548.2,2529.48,2503178,6331734421.0,55773,1654922,66.11,10,2017,2484.86949534002,0.01913732077509156,Slight positive
105,TCS,EQ,13-Oct-17,2548.2,2548.2,2608.95,2523.0,2559.75,2558.6,2562.16,2033160,5209287767.0,83968,623802,30.68,10,2017,2486.258100135743,0.0040813122988776485,Slight positive
